日期,P1A(0m),P1A(0.5m),P1A(1m),P1A(1.5m),P1A(2m),P1A(2.5m),P1A(3m),P1A(3.5m),P1A(4m),P1A(4.5m),P1A(5m),P1A(5.5m),P1A(6m),P1A(6.5m),P1A(7m),P1A(7.5m),P1A(8m),P1A(8.5m),P1A(9m),P1A(9.5m),P1A(10m),P1A(10.5m),P1A(11m),P1A(11.5m),P1A(12m)
2018/7/17 0:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/8/7 0:00:00,0,0,0,0,0,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.2,0.2,0.3,0.4,0.3
2018/8/8 0:00:00,0,-0.1,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,0,0,0,-0.1,-0.1,0,0,-0.1,-0.1,0,0,-0.1,0
2018/8/9 0:00:00,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3
2018/8/10 0:00:00,0,0,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0.1,0.2,0.1
2018/8/11 0:00:00,0,0,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,0,0.1,0.1,0.2,0.3,0.3
2018/8/12 0:00:00,0,0,0,0,0,-0.1,-0.1,0,0,0,-0.3,-0.4,-0.4,-0.3,-0.4,-0.4,-0.3,-0.3,-0.3,-0.2,-0.1,-0.1,-0.1,-0.1,-0.2
2018/8/13 0:00:00,0,0,0,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,0,-0.4,-0.4,-0.5,-0.4,-0.5,-0.5,-0.4,-0.4,-0.4,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2
2018/8/14 0:00:00,0,0,0,-0.1,0,-0.1,0,0.1,0,0,-0.3,-0.3,-0.4,-0.3,-0.5,-0.4,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.4
2018/8/15 0:00:00,0,0,0,-0.1,0,-0.1,-0.1,0,0,0.1,-0.3,-0.4,-0.5,-0.4,-0.5,-0.5,-0.4,-0.4,-0.4,-0.3,-0.2,-0.2,-0.2,-0.3,-0.4
2018/8/16 0:00:00,0,0,0,-0.1,0.1,-0.1,0,0.1,0.1,0.2,-0.2,-0.3,-0.4,-0.3,-0.4,-0.4,-0.3,-0.3,-0.3,-0.2,-0.1,-0.1,0,-0.2,-0.3
2018/8/17 0:00:00,0,0,0,-0.4,-0.1,-0.3,-0.1,-0.1,0,0.2,-0.3,-0.5,-0.4,-0.1,-0.2,-0.1,-0.1,0,0,0.1,0.2,0.2,0,-0.1,-0.1
2018/8/18 0:00:00,0,0,0,-0.4,-0.2,-0.3,-0.3,-0.2,-0.1,0.1,-0.4,-0.5,-0.4,-0.1,-0.1,0,0.1,0.1,0.2,0.3,0.4,0.4,0.1,0.2,0.1
2018/8/19 0:00:00,0,-0.1,0,0,0,0,-0.1,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
2018/8/20 0:00:00,0,-0.1,0,0.2,0.2,0.2,0.1,0.1,0,0,0,0,0,0.1,0,0,0.1,0.1,0.1,0,0,0,0,-0.1,0
2018/8/21 0:00:00,0,-0.1,0,0.3,0.4,0.4,0.3,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0,0,-0.1,0,0,0.1,-0.1,-0.1
2018/8/22 0:00:00,0,-0.1,-0.1,0.2,0.3,0.2,0.1,0,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,0,-0.2,-0.2
2018/8/23 0:00:00,0,-0.1,-0.1,0.4,0.6,0.4,0.2,0,-0.1,-0.2,-0.3,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,-0.3,-0.2,-0.4,-0.1,-0.1,-0.1,-0.5,-0.4
2018/8/24 0:00:00,0,-0.1,-0.1,0.2,0.4,0.2,0.1,-0.1,-0.2,-0.3,-0.3,-0.2,-0.3,-0.2,-0.4,-0.3,-0.3,-0.4,-0.3,-0.4,-0.2,-0.3,-0.2,-0.6,-0.5
2018/8/25 0:00:00,0,-0.1,-0.1,0.4,0.5,0.3,0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.3,-0.2,-0.2,-0.3,-0.2,-0.3,0,-0.1,0,-0.4,-0.3
2018/8/26 0:00:00,0,-0.1,0,0.5,0.5,0.4,0.2,0.1,0.1,0.1,0,0,0.1,0.1,-0.1,-0.1,0.1,-0.1,0,-0.1,0.1,0.1,0.1,-0.3,-0.2
2018/8/27 0:00:00,0,-0.1,0,0.4,0.4,0.2,0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.3,-0.2,-0.1,-0.2,-0.1,-0.2,0,0,0,-0.4,-0.3
2018/8/28 0:00:00,0,0.1,0.2,0.6,0.6,0.5,0.4,0.2,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0.2,0.1,0.2,0.1,0.3,0.3,0.3,-0.1,0
2018/8/29 0:00:00,0,0.1,0.2,0.5,0.6,0.5,0.5,0.4,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.4,0.3,0.5,0.3,0.6,0.6,0.6,0.2,0.3
2018/8/30 0:00:00,0,0.1,0.5,0.7,0.9,0.9,0.8,0.6,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.7,0.6,0.8,0.7,0.9,1,1,0.6,0.7
2018/8/31 0:00:00,0,0,0.2,0.4,0.4,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.6,0.6,0.6,0.4,0.5
2018/9/1 0:00:00,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.4
2018/9/2 0:00:00,0,0,0.1,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.5,0.6
2018/9/3 0:00:00,0,0,0.1,0.2,0.3,0.3,0.2,0.1,0.2,0.2,0.3,0.3,0.3,0.2,0.1,0.2,0.4,0.5,0.6,0.5,0.6,0.6,0.4,0.5,0.7
2018/9/4 0:00:00,0,0,0.1,0.2,0.4,0.4,0.3,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.6,0.7,0.8,0.7,0.9,0.9,0.7,0.8,1
2018/9/5 0:00:00,0,0,0,0.2,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.6,0.5,0.7,0.9,1,1.2,1.1,1.2,1.1,1,1.3,1.5
2018/9/6 0:00:00,0,0,0,0.1,0.3,0.5,0.3,0.2,0.2,0.3,0.5,0.7,0.7,0.8,0.7,0.8,1,1.2,1.4,1.1,1.2,1.1,1,1.2,1.4
2018/9/7 0:00:00,0,0,0,0.1,0.3,0.5,0.4,0.4,0.4,0.5,0.6,0.9,0.9,0.9,0.9,1,1.2,1.3,1.5,1.2,1.3,1.3,1.2,1.3,1.5
2018/9/8 0:00:00,0,0,0,0.1,0.4,0.6,0.5,0.5,0.5,0.6,0.7,1,1,1.1,1.1,1.3,1.4,1.5,1.7,1.5,1.6,1.5,1.4,1.5,1.6
2018/9/9 0:00:00,0,0,0,0.1,0.4,0.7,0.6,0.6,0.6,0.7,0.9,1.2,1.2,1.3,1.2,1.4,1.6,1.8,2,1.7,1.7,1.7,1.6,1.7,1.8
2018/9/10 0:00:00,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,0.9,1,1.1,1.1,1.2,1.2,1.3,1.4,1.4,1.4,1.4,1.5,1.6,1.6,1.6
2018/9/11 0:00:00,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.2,1.3,1.4,1.5,1.5,1.6,1.7,1.7,1.7,1.7,1.8,1.9,2,1.9
2018/9/12 0:00:00,0.5,0.5,0.6,0.7,0.7,0.9,1,1,1.2,1.2,1.3,1.3,1.4,1.6,1.6,1.6,1.8,1.9,1.9,1.9,1.9,2,2.2,2.3,2.3
2018/9/13 0:00:00,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.2,1.3,1.4,1.5,1.5,1.5,1.7,1.8,1.8,1.8
2018/9/14 0:00:00,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.9,0.9,1,1,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.5,1.6
2018/9/15 0:00:00,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.9,1,1.1,1.1,1.2,1.3,1.4,1.6,1.6,1.7,1.9,2,2,2.1
2018/9/16 0:00:00,0.5,0.5,0.7,0.7,0.8,0.8,0.8,0.9,0.8,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.8,1.9,2,2.2,2.2,2.3
2018/9/17 0:00:00,0.5,0.5,0.7,0.7,0.8,0.8,0.9,0.9,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.9,1.9,2,2.2,2.4,2.4,2.5
2018/9/18 0:00:00,0.5,0.5,0.7,0.9,1,1,1.1,1.2,1,1.1,1.2,1.3,1.3,1.5,1.6,1.9,2.1,2.2,2.5,2.5,2.6,2.7,2.9,2.9,2.9
2018/9/19 0:00:00,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,0.8,0.9,1,1.1,1,1.3,1.5,1.8,2.1,2.2,2.6,2.7,2.8,2.7,2.8,3,3
2018/9/20 0:00:00,0.5,0.5,0.5,0.9,1,1,1.2,1.1,1,1.1,1.2,1.3,1.2,1.5,1.7,2.2,2.4,2.5,2.9,3,3.1,3,3.2,3.3,3.3
2018/9/21 0:00:00,0.5,0.5,0.6,1.1,1.1,1.2,1.3,1.3,1.2,1.3,1.4,1.5,1.4,1.7,1.9,2.4,2.6,2.7,3.1,3.2,3.3,3.2,3.4,3.5,3.6
